,,
Common name,Binomial,
Hill partridge,Arborophila torqueola,
Chestnut-breasted partridge,Arborophila mandellii,
Rufous-throated partridge,Arborophila rufogularis,
White-cheeked partridge,Arborophila atrogularis,
Indian peafowl,Pavo cristatus,
Green peafowl,Pavo muticus,
Red spurfowl,Galloperdix spadicea,
Painted spurfowl,Galloperdix lunulata,
Grey peacock-pheasant,Polyplectron bicalcaratum,
Blue-breasted quail,Coturnix chinensis,
Japanese quail,Coturnix japonica,
Common quail,Coturnix coturnix,
Rain quail,Coturnix coromandelica,
Chukar partridge,Alectoris chukar,
Tibetan snowcock,Tetraogallus tibetanus,
Himalayan snowcock,Tetraogallus himalayensis,
Jungle bush quail,Perdicula asiatica,
Rock bush quail,Perdicula argoondah,
Painted bush quail,Perdicula erythrorhyncha,
Manipur bush quail,Perdicula manipurensis,
Himalayan quail,Ophrysia superciliosa,
Black francolin,Francolinus francolinus,
Painted francolin,Francolinus pictus,
Chinese francolin,Francolinus pintadeanus,
Grey francolin,Francolinus pondicerianus,
Swamp francolin,Francolinus gularis,
Mountain bamboo partridge,Bambusicola fytchii,
Red junglefowl,Gallus gallus,
Grey junglefowl,Gallus sonneratii,
Blood pheasant,Ithaginis cruentus,
Himalayan monal,Lophophorus impejanus,
Sclater's monal,Lophophorus sclateri,
Snow partridge,Lerwa lerwa,
Western tragopan,Tragopan melanocephalus,
Satyr tragopan,Tragopan satyra,
Blyth's tragopan,Tragopan blythii,
Temminck's tragopan,Tragopan temminckii,
Mrs. Hume's pheasant,Syrmaticus humiae,
Cheer pheasant,Catreus wallichii,
Kalij pheasant,Lophura leucomelanos,
Tibetan partridge,Perdix hodgsoniae,
Koklass pheasant,Pucrasia macrolopha,
Nicobar scrubfowl,Megapodius nicobariensis,
Fulvous whistling duck,Dendrocygna bicolor,
Lesser whistling duck,Dendrocygna javanica,
Bar-headed goose,Anser indicus,
Greylag goose,Anser anser,
Greater white-fronted goose,Anser albifrons,
Lesser white-fronted goose,Anser erythropus,Vagrant;[4][5] vulnerable
Taiga bean-goose,Anser fabalis,Vagrant
Tundra bean-goose,Anser serrirostris,Vagrant; by some authorities considered a variety of Anser fabalis
Red-breasted goose,Branta ruficollis,Vagrant;[6] vulnerable
Mute swan,Cygnus olor,Vagrant
Tundra swan,Cygnus columbianus,Vagrant; race bewickii sometimes treated as a species[7]
Whooper swan,Cygnus cygnus,Vagrant
Knob-billed duck,Sarkidiornis melanotos,
Ruddy shelduck,Tadorna ferruginea,
Common shelduck,Tadorna tadorna,
Cotton pygmy goose,Nettapus coromandelianus,
Mandarin duck,Aix galericulata,Vagrant
Baikal teal,Sibirionetta formosa,Vagrant
Garganey,Spatula querquedula,
Northern shoveler,Spatula clypeata,
Gadwall,Mareca strepera,
Falcated duck,Mareca falcata,Near-threatened
Eurasian wigeon,Mareca penelope,
Indian spot-billed duck,Anas poecilorhyncha,
Eastern spot-billed duck,Anas zonorhyncha,Vagrant
Mallard,Anas platyrhynchos,
Northern pintail,Anas acuta,
Eurasian teal,Anas crecca,
Andaman teal,Anas albogularis,Endemic; vulnerable
Marbled duck,Marmaronetta angustirostris,Vulnerable
Pink-headed duck,Netta caryophyllacea,Endemic; critically endangered (possibly extinct)
White-winged duck,Asarcornis scutulata,Endangered
Red-crested pochard,Netta rufina,
Common pochard,Aythya ferina,Vulnerable
Ferruginous duck,Aythya nyroca,Near-threatened
Baer's pochard,Aythya baeri,Critically endangered
Tufted duck,Aythya fuligula,
Greater scaup,Aythya marila,
Long-tailed duck,Clangula hyemalis,Vagrant; vulnerable
Common goldeneye,Bucephala clangula,
Smew,Mergellus albellus,
Common merganser,Mergus merganser,
Red-breasted merganser,Mergus serrator,Vagrant
White-headed duck,Oxyura leucocephala,Endangered
Red-throated loon,Gavia stellata,Vagrant
Black-throated loon,Gavia arctica,Vagrant
,,
Cape petrel,Daption capense,Vagrant
Barau's petrel,Pterodroma baraui,Endangered
Jouanin's petrel,Bulweria fallax,Near-threatened
Streaked shearwater,Calonectris leucomelas,Near-threatened
Scopoli's shearwater,Calonectris diomedea,Vagrant
Flesh-footed shearwater,Ardenna carneipes,Near-threatened
Wedge-tailed shearwater,Ardenna pacifica,
Short-tailed shearwater,Ardenna tenuirostris,Vagrant
Tropical shearwater,Puffinus bailloni,
Persian shearwater,Puffinus persicus,
Wilson's storm petrel,Oceanites oceanicus,
White-faced storm petrel,Pelagodroma marina,Vagrant
Black-bellied storm petrel,Fregetta tropica,Vagrant
Swinhoe's storm petrel,Oceanodroma monorhis,Near-threatene
,,
Little grebe,Tachybaptus ruficollis,
Horned grebe,Podiceps auritus,Vagrant; vulnerable
Red-necked grebe,Podiceps grisegena,Vagrant
Great crested grebe,Podiceps cristatus,
Black-necked grebe,Podiceps nigricollis,
Greater flamingo,Phoenicopterus roseus,
Lesser flamingo,Phoenicopterus minor,Near-threatene
,,
White-tailed tropicbird,Phaethon lepturus,Vagrant
Red-billed tropicbird,Phaethon aethereus,Vagrant
Red-tailed tropicbird,Phaethon rubricauda,
Asian openbill,Anastomus oscitans,
Black stork,Ciconia nigra,
Woolly-necked stork,Ciconia episcopus,
White stork,Ciconia ciconia,
Black-necked stork,Ephippiorhynchus asiaticus,Near-threatened
Lesser adjutant,Leptoptilos javanicus,Vulnerable
Greater adjutant,Leptoptilos dubius,Endangered
Painted stork,Mycteria leucocephala,Near-threatened
,,
Glossy ibis,Plegadis falcinellus,
Black-headed ibis,Threskiornis melanocephalus,Near-threatened
Red-naped ibis,Pseudibis papillosa,
Eurasian spoonbill,Platalea leucorodia,
